study,domain,sub_domain,source,table_name,name,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_005,"Football: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__footb_005__l,"Football: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__frisbee_002,Ultimate frisbee: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__frisbee_002__l,Ultimate frisbee: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__frisbee_004,"Ultimate frisbee: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__frisbee_005,"Ultimate frisbee: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_002,"Competitive Games like Chess, Cards, or Darts: About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_002__l,"Competitive Games like Chess, Cards, or Darts: About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_004,"Competitive Games like Chess, Cards, or Darts: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_004__l,"Competitive Games like Chess, Cards, or Darts: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_005,"Competitive Games like Chess, Cards, or Darts: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__games_005__l,"Competitive Games like Chess, Cards, or Darts: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__golf_002,Golf: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__golf_002__l,Golf: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__golf_004,"Golf: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school?",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__golf_005,"Golf: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school?",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_002,Gymnastics: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_002__l,Gymnastics: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_004,"Gymnastics: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_004__l,"Gymnastics: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_005,"Gymnastics: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__gymnast_005__l,"Gymnastics: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_002,"Horseback Riding, Polo: About how many days per week? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_002__l,"Horseback Riding, Polo: About how many days per week? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_004,"Horseback Riding, Polo: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_004__l,"Horseback Riding, Polo: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_005,"Horseback Riding, Polo: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__horse_005__l,"Horseback Riding, Polo: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_002,Ice Hockey: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_002__l,Ice Hockey: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_004,"Ice Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_004__l,"Ice Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_005,"Ice Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__ihock_005__l,"Ice Hockey: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__iskate_002,Ice or Inline Skating: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__iskate_002__l,Ice or Inline Skating: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__iskate_004,"Ice or Inline Skating: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Novel Technologies,Screen Use,Youth,nt_y_stq,nt_y_stq__sleep_001,"Is there a TV set or an Internet connected electronic device (computer, iPad, phone) in your bedroom?",yes,not sensitive,screen time,not applicable,_none_
